Purchase Date,ProductID,CustomerCode,Order ID,Units Sold,Revenue,Cost of Goods Sold
4/07/2020,1,AWilson,1-143-51064-X,151,2141,4956
9/04/2021,1,ZWheeler,1-163-25655-2,624,1620,1156
10/03/2022,2,JArroyo,0-345-30366-0,853,9978,1030
10/05/2023,3,AFleming,1-4844-8219-0,962,5974,5279
19/11/2020,4,CSmith,1-85816-387-0,719,3928,2828
14/09/2021,5,CSchmidt,0-493-90603-7,650,4708,4619
25/02/2021,1,MMercado,1-4807-1762-2,101,1398,955
17/12/2020,6,KRobinson,1-86050-751-4,472,6069,4533
21/12/2021,6,JSalazar,1-55729-850-5,562,9883,7180
1/05/2022,7,MHall,1-971855-58-8,245,8617,1709
4/07/2023,1,BAdams,1-79959-753-9,554,2116,1486
27/02/2021,8,JJones,1-355-52725-2,502,3428,5865
13/04/2023,7,JRasmussen,0-408-49597-9,179,3093,3532
17/04/2021,9,DKing,1-4034-4066-2,935,5668,3070
29/07/2020,6,JMurphy,1-230-47174-X,526,3082,7115
17/11/2022,6,HHall,0-320-91549-2,671,5743,4554
5/02/2021,2,THernandez,0-560-70787-8,279,3759,3448
1/03/2022,10,CJones,0-392-81194-4,465,6829,4208
8/06/2021,2,DOconnor,1-68663-234-7,192,9870,4795
31/05/2021,3,RLane,1-4446-1615-3,849,4659,7269
24/11/2022,2,CMiller,1-4940-8694-8,351,3724,2359
9/06/2021,9,TLeePhD,0-07-408127-6,691,9336,3233
5/05/2022,9,MShepherd,0-422-98574-0,517,2235,2545
24/03/2022,5,SGregory,0-13-102304-7,658,5411,1161
28/03/2021,8,SWoods,1-966180-26-8,234,6508,6474
22/07/2021,3,JVincent,0-460-47270-4,144,4060,2398
3/02/2021,9,SRush,1-322-33309-2,279,1132,563
15/04/2022,3,SRobertson,1-281-02885-1,434,9864,3455
19/02/2023,9,JVaughn,1-69698-646-X,871,2724,1045
20/12/2022,2,CMiller,1-05-361806-9,165,4290,3799
9/03/2021,7,LLeon,0-8092-3245-6,937,5957,2136
21/10/2022,7,BWinters,1-4298-5021-3,124,3129,4919
2/07/2020,8,KLopez,0-458-31329-7,231,1676,6034
13/02/2023,6,AMolina,0-243-91336-2,146,5483,5354
22/10/2020,5,EArnold,1-9799-6416-5,147,3130,2749
29/07/2021,9,VSweeney,1-4592-1480-3,846,3104,1594
22/03/2021,1,MKimberlyBell,1-70203-836-X,315,8884,2069
13/09/2022,1,JJimenez,1-4023-8634-6,566,2221,7529
4/01/2021,8,JWatson,0-289-65753-9,329,1619,4581
16/09/2020,3,KBauer,1-338-18183-1,367,6592,7478
23/09/2022,1,ETorres,0-503-39889-6,426,8283,5180
25/01/2022,10,MShelleyHall,0-13-309344-1,1000,2551,4498
19/02/2023,9,RRhodes,0-241-58177-X,307,3271,7297
24/04/2020,7,DMcbride,1-4652-5773-X,243,6729,2992
25/12/2021,3,MCarter,0-8015-4419-X,368,2497,2357
12/12/2021,1,WThompson,0-409-79261-6,386,4250,2611
